Name,Date,Active cases
TaiWan,2020/4/19,225 
TaiWan,2020/4/18,214 
TaiWan,2020/4/17,223 
TaiWan,2020/4/16,234 
TaiWan,2020/4/15,265 
TaiWan,2020/4/14,263 
TaiWan,2020/4/13,278 
TaiWan,2020/4/12,273 
TaiWan,2020/4/11,280 
TaiWan,2020/4/10,285 
TaiWan,2020/4/9,308 
TaiWan,2020/4/8,313 
TaiWan,2020/4/7,314 
TaiWan,2020/4/6,311 
TaiWan,2020/4/5,308 
TaiWan,2020/4/4,300 
TaiWan,2020/4/3,293 
TaiWan,2020/4/2,289 
TaiWan,2020/4/1,285 
TaiWan,2020/3/31,278 
TaiWan,2020/3/30,262 
TaiWan,2020/3/29,266 
TaiWan,2020/3/28,251 
TaiWan,2020/3/27,236 
TaiWan,2020/3/26,221 
TaiWan,2020/3/25,204 
TaiWan,2020/3/24,184 
TaiWan,2020/3/23,165 
TaiWan,2020/3/22,139 
TaiWan,2020/3/21,123 
TaiWan,2020/3/20,107 
TaiWan,2020/3/19,81 
TaiWan,2020/3/18,77 
TaiWan,2020/3/17,54 
TaiWan,2020/3/16,46 
TaiWan,2020/3/15,38 
TaiWan,2020/3/14,32 
TaiWan,2020/3/13,29 
TaiWan,2020/3/12,28 
TaiWan,2020/3/11,30 
TianJin,2020/6/1,1 
TianJin,2020/5/31,1 
TianJin,2020/5/30,1 
TianJin,2020/5/29,1 
TianJin,2020/5/28,1 
TianJin,2020/5/27,1 
TianJin,2020/5/26,1 
TianJin,2020/5/25,1 
TianJin,2020/5/24,1 
TianJin,2020/5/23,2 
TianJin,2020/5/22,2 
TianJin,2020/5/21,2 
TianJin,2020/5/20,2 
TianJin,2020/5/19,2 
TianJin,2020/5/18,2 
TianJin,2020/5/17,2 
TianJin,2020/5/16,2 
TianJin,2020/5/15,1 
TianJin,2020/5/14,1 
TianJin,2020/5/13,1 
TianJin,2020/5/12,2 
TianJin,2020/5/11,2 
TianJin,2020/5/10,2 
TianJin,2020/5/9,2 
TianJin,2020/5/8,2 
TianJin,2020/5/7,1 
TianJin,2020/5/6,1 
TianJin,2020/5/5,1 
TianJin,2020/5/4,1 
TianJin,2020/5/3,1 
TianJin,2020/5/2,2 
TianJin,2020/5/1,2 
TianJin,2020/4/30,3 
TianJin,2020/4/29,4 
TianJin,2020/4/28,4 
TianJin,2020/4/27,5 
TianJin,2020/4/26,5 
TianJin,2020/4/25,5 
TianJin,2020/4/24,6 
TianJin,2020/4/23,7 
TianJin,2020/4/22,10 
TianJin,2020/4/21,10 
TianJin,2020/4/20,12 
TianJin,2020/4/19,12 
TianJin,2020/4/18,13 
TianJin,2020/4/17,13 
TianJin,2020/4/16,11 
TianJin,2020/4/15,11 
TianJin,2020/4/14,14 
TianJin,2020/4/13,17 
TianJin,2020/4/12,19 
TianJin,2020/4/11,19 
TianJin,2020/4/10,22 
TianJin,2020/4/9,27 
TianJin,2020/4/8,25 
TianJin,2020/4/7,26 
TianJin,2020/4/6,33 
TianJin,2020/4/5,33 
TianJin,2020/4/4,33 
TianJin,2020/4/3,37 
TianJin,2020/4/2,38 
TianJin,2020/4/1,38 
TianJin,2020/3/31,36 
TianJin,2020/3/30,38 
TianJin,2020/3/29,30 
TianJin,2020/3/28,25 
TianJin,2020/3/27,19 
TianJin,2020/3/26,15 
TianJin,2020/3/25,9 
TianJin,2020/3/24,9 
TianJin,2020/3/23,5 
TianJin,2020/3/22,1 
TianJin,2020/3/21,1 
TianJin,2020/3/20,1 
TianJin,2020/3/19,1 
TianJin,2020/3/18,0 
TianJin,2020/3/17,0 
TianJin,2020/3/16,0 
TianJin,2020/3/15,0 
TianJin,2020/3/14,1 
TianJin,2020/3/13,1 
TianJin,2020/3/12,1 
TianJin,2020/3/11,2 
TianJin,2020/3/10,2 
TianJin,2020/3/9,3 
TianJin,2020/3/8,5 
TianJin,2020/3/7,5 
TianJin,2020/3/6,5 
TianJin,2020/3/5,5 
TianJin,2020/3/4,9 
TianJin,2020/3/3,9 
TianJin,2020/3/2,22 
TianJin,2020/3/1,22 
TianJin,2020/2/29,24 
TianJin,2020/2/28,31 
TianJin,2020/2/27,31 
TianJin,2020/2/26,36 
TianJin,2020/2/25,41 
TianJin,2020/2/24,45 
TianJin,2020/2/23,51 
TianJin,2020/2/22,67 
TianJin,2020/2/21,67 
TianJin,2020/2/20,69 
TianJin,2020/2/19,73 
TianJin,2020/2/18,77 
TianJin,2020/2/17,76 
TianJin,2020/2/16,76 
TianJin,2020/2/15,82 
TianJin,2020/2/14,86 
TianJin,2020/2/13,95 
TianJin,2020/2/12,99 
TianJin,2020/2/11,94 
TianJin,2020/2/10,86 
TianJin,2020/2/9,86 
TianJin,2020/2/8,83 
TianJin,2020/2/7,78 
TianJin,2020/2/6,76 
TianJin,2020/2/5,66 
TianJin,2020/2/4,65 
TianJin,2020/2/3,59 
TianJin,2020/2/2,47 
TianJin,2020/2/1,41 
TianJin,2020/1/31,32 
TianJin,2020/1/30,31 
TianJin,2020/1/29,27 
TianJin,2020/1/28,24 
TianJin,2020/1/27,23 
TianJin,2020/1/26,14 
TianJin,2020/1/25,10 
TianJin,2020/1/24,8 
TianJin,2020/1/23,4 
TianJin,2020/1/22,4 
XinJiang,2020/6/1,0 
XinJiang,2020/5/31,0 
XinJiang,2020/5/30,0 
XinJiang,2020/5/29,0 
XinJiang,2020/5/28,0 
XinJiang,2020/5/27,0 
XinJiang,2020/5/26,0 
XinJiang,2020/5/25,0 
XinJiang,2020/5/24,0 
XinJiang,2020/5/23,0 
XinJiang,2020/5/22,0 
XinJiang,2020/5/21,0 
XinJiang,2020/5/20,0 
XinJiang,2020/5/19,0 
XinJiang,2020/5/18,0 
XinJiang,2020/5/17,0 
XinJiang,2020/5/16,0 
XinJiang,2020/5/15,0 
XinJiang,2020/5/14,0 
XinJiang,2020/5/13,0 
XinJiang,2020/5/12,0 
XinJiang,2020/5/11,0 
XinJiang,2020/5/10,0 
XinJiang,2020/5/9,0 
XinJiang,2020/5/8,0 
XinJiang,2020/5/7,0 
XinJiang,2020/5/6,0 
XinJiang,2020/5/5,0 
XinJiang,2020/5/4,0 
XinJiang,2020/5/3,0 
XinJiang,2020/5/2,0 
XinJiang,2020/5/1,0 
XinJiang,2020/4/30,0 
XinJiang,2020/4/29,0 
XinJiang,2020/4/28,0 
XinJiang,2020/4/27,0 
XinJiang,2020/4/26,0 
XinJiang,2020/4/25,0 
XinJiang,2020/4/24,0 
XinJiang,2020/4/23,0 
XinJiang,2020/4/22,0 
XinJiang,2020/4/21,0 
XinJiang,2020/4/20,0 
XinJiang,2020/4/19,0 
XinJiang,2020/4/18,0 
XinJiang,2020/4/17,0 
XinJiang,2020/4/16,0 
XinJiang,2020/4/15,0 
XinJiang,2020/4/14,0 
XinJiang,2020/4/13,0 
XinJiang,2020/4/12,0 
XinJiang,2020/4/11,0 
XinJiang,2020/4/10,0 
XinJiang,2020/4/9,0 
XinJiang,2020/4/8,0 
